Age,Gender,wassce grade,level,current CGPA,number of siblings ,access to a laptop or internet,study group,time spent on independent studies,grades
118,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
119,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
120,18 - 22 years,Female,6 - 9,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
121,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Less than 2 hours,Third class
122,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
123,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,More than 3,Yes,No,Exactly 2 hours,Second class upper
124,23 - 27 years,Female,6 - 9,L 400,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
125,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Less than 3,Yes,Yes,Less than 2 hours,Second class upper
126,18 - 22 years,Male,6 - 9,L 300,3.5 - 3.0,Less than 3,Yes,No,More than 2 hours,Second class upper
127,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,No,More than 2 hours,Second class upper
128,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,Yes,More than 2 hours,Second class lower
129,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,Exactly 2 hours,Second class lower
130,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,No,No,More than 2 hours,Second class lower
131,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,More than 3,Yes,No,Less than 2 hours,Third class
132,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
133,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,More than 3,Yes,No,More than 2 hours,Second class lower
134,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,Exactly 2 hours,Second class lower
135,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,Yes,Exactly 2 hours,Second class upper
136,23 - 27 years,Male,16 - 20,L 300,2.4 - 2.0,Less than 3,Yes,Yes,More than 2 hours,Third class
137,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,Less than 3,Yes,Yes,More than 2 hours,Second class upper
138,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,Yes,Exactly 2 hours,Second class lower
139,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,Yes,Less than 2 hours,Second class upper
140,23 - 27 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
141,23 - 27 years,Male,21 - 25,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Exactly 2 hours,Third class
142,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
143,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,No,Yes,Exactly 2 hours,Second class lower
144,28 - 32 years,Male,10 - 15,L 300,4.0 - 3.6,More than 3,Yes,Yes,Exactly 2 hours,First class
145,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,More than 3,Maybe,Yes,More than 2 hours,Third class
146,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,No,More than 2 hours,Second class upper
147,18 - 22 years,Male,10 - 15,L 300,1.9 - 1.5,Less than 3,Yes,No,Less than 2 hours,Pass
148,23 - 27 years,Male,10 - 15,L 300,4.0 - 3.6,More than 3,Yes,No,More than 2 hours,First class
149,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,Exactly 3,No,No,More than 2 hours,Second class upper
150,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,No,No,More than 2 hours,Second class lower
151,18 - 22 years,Male,16 - 20,L 300,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
152,28 - 32 years,Male,6 - 9,L 300,4.0 - 3.6,More than 3,Yes,No,More than 2 hours,First class
153,23 - 27 years,Male,21 - 25,L 300,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
154,23 - 27 years,Male,10 - 15,L 300,Below 1.5,More than 3,No,Yes,Exactly 2 hours,Fail
155,18 - 22 years,Female,6 - 9,L 300,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
156,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,Less than 3,Yes,Yes,More than 2 hours,Second class upper
157,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Exactly 3,Yes,No,Less than 2 hours,Third class
158,18 - 22 years,Male,21 - 25,L 300,2.4 - 2.0,Exactly 3,Yes,Yes,Exactly 2 hours,Third class
159,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,Yes,Less than 2 hours,Second class upper
160,18 - 22 years,Male,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
161,23 - 27 years,Male,16 - 20,L 300,1.9 - 1.5,Exactly 3,Yes,No,Less than 2 hours,Pass
162,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,No,More than 2 hours,Second class lower
163,23 - 27 years,Male,6 - 9,L 300,4.0 - 3.6,More than 3,Yes,Yes,More than 2 hours,First class
164,23 - 27 years,Male,10 - 15,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
165,23 - 27 years,Female,6 - 9,L 300,4.0 - 3.6,Exactly 3,No,No,Exactly 2 hours,First class
166,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Exactly 3,Yes,Yes,Exactly 2 hours,Third class
167,23 - 27 years,Male,21 - 25,L 300,2.9 - 2.5,Less than 3,Yes,Yes,Less than 2 hours,Second class lower
168,23 - 27 years,Female,10 - 15,L 400,3.5 - 3.0,More than 3,Maybe,Yes,More than 2 hours,Second class upper
169,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
170,18 - 22 years,Male,10 - 15,L 300,3.5 - 3.0,Less than 3,Yes,No,Exactly 2 hours,Second class upper
171,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
172,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,No,Less than 2 hours,Second class lower
173,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
174,18 - 22 years,Male,6 - 9,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
175,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,More than 3,Yes,Yes,Exactly 2 hours,Second class lower
176,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,No,More than 2 hours,Second class lower
177,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
178,18 - 22 years,Male,16 - 20,L 300,2.4 - 2.0,Less than 3,Yes,Yes,More than 2 hours,Third class
179,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
180,23 - 27 years,Male,10 - 15,L 300,2.9 - 2.5,More than 3,Yes,No,More than 2 hours,Second class lower
181,18 - 22 years,Male,6 - 9,L 300,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
182,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,No,Exactly 2 hours,Second class upper
183,23 - 27 years,Male,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,No,Less than 2 hours,Second class upper
184,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Exactly 2 hours,Third class
185,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,Yes,More than 2 hours,Second class lower
186,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Exactly 3,Yes,Yes,Less than 2 hours,Third class
187,18 - 22 years,Male,16 - 20,L 300,2.9 - 2.5,Less than 3,Yes,No,Exactly 2 hours,Second class lower
188,18 - 22 years,Female,16 - 20,L 300,2.9 - 2.5,More than 3,Yes,No,More than 2 hours,Second class lower
189,23 - 27 years,Male,10 - 15,L 300,4.0 - 3.6,More than 3,Yes,No,More than 2 hours,First class
190,23 - 27 years,Male,21 - 25,L 300,2.9 - 2.5,Exactly 3,Yes,No,More than 2 hours,Second class lower
191,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,No,No,More than 2 hours,Second class upper
192,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Less than 2 hours,Third class
193,23 - 27 years,Male,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,Yes,More than 2 hours,Second class upper
194,23 - 27 years,Male,16 - 20,L 300,2.4 - 2.0,More than 3,Yes,Yes,More than 2 hours,Third class
195,23 - 27 years,Male,16 - 20,L 300,2.9 - 2.5,Exactly 3,Yes,No,Less than 2 hours,Second class lower
196,23 - 27 years,Male,10 - 15,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Less than 2 hours,Third class
197,23 - 27 years,Female,10 - 15,L 400,3.5 - 3.0,Exactly 3,Yes,Yes,More than 2 hours,Second class upper
198,18 - 22 years,Male,21 - 25,L 300,2.4 - 2.0,Less than 3,Yes,Yes,Less than 2 hours,Third class
199,18 - 22 years,Male,16 - 20,L 400,2.9 - 2.5,Exactly 3,Yes,Yes,More than 2 hours,Second class lower
200,23 - 27 years,Female,16 - 20,L 400,3.5 - 3.0,Less than 3,Yes,Yes,Exactly 2 hours,Second class upper
201,23 - 27 years,Female,21 - 25,L 300,2.9 - 2.5,Exactly 3,No,Yes,More than 2 hours,Second class lower
202,23 - 27 years,Female,16 - 20,L 300,2.4 - 2.0,More than 3,No,No,Less than 2 hours,Third class
203,18 - 22 years,Male,10 - 15,L 400,4.0 - 3.6,Less than 3,Yes,Yes,Less than 2 hours,First class
204,14 - 17 years,Female,6 - 9,L 400,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
205,18 - 22 years,Female,10 - 15,L 300,3.5 - 3.0,Exactly 3,Yes,Yes,More than 2 hours,Second class upper
206,18 - 22 years,Male,10 - 15,L 400,4.0 - 3.6,More than 3,Maybe,Yes,More than 2 hours,First class
207,23 - 27 years,Male,6 - 9,L 400,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
208,14 - 17 years,Male,10 - 15,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
209,23 - 27 years,Female,10 - 15,L 300,2.9 - 2.5,Less than 3,No,No,Exactly 2 hours,Second class lower
210,23 - 27 years,Female,16 - 20,L 300,2.4 - 2.0,Less than 3,No,No,Exactly 2 hours,Third class
211,28 - 32 years,Female,16 - 20,L 400,2.9 - 2.5,Exactly 3,Yes,No,More than 2 hours,Second class lower
212,18 - 22 years,Male,10 - 15,L 300,2.4 - 2.0,Less than 3,No,No,Exactly 2 hours,Third class
213,23 - 27 years,Female,6 - 9,L 400,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
214,23 - 27 years,Male,16 - 20,L 400,3.5 - 3.0,Less than 3,Yes,Yes,Exactly 2 hours,Second class upper
215,18 - 22 years,Male,10 - 15,L 400,2.4 - 2.0,Less than 3,No,No,Less than 2 hours,Third class
216,28 - 32 years,Male,21 - 25,L 400,3.5 - 3.0,Exactly 3,No,No,More than 2 hours,Second class upper
217,23 - 27 years,Female,26 - 30,L 300,3.5 - 3.0,Less than 3,Yes,No,Less than 2 hours,Second class upper
218,14 - 17 years,Female,10 - 15,L 400,2.9 - 2.5,Exactly 3,Yes,No,More than 2 hours,Second class lower
219,28 - 32 years,Female,10 - 15,L 300,2.9 - 2.5,Less than 3,Yes,Yes,Less than 2 hours,Second class lower
220,14 - 17 years,Male,6 - 9,L 400,4.0 - 3.6,More than 3,Yes,Yes,More than 2 hours,First class
221,18 - 22 years,Male,10 - 15,L 400,2.9 - 2.5,Less than 3,No,No,Exactly 2 hours,Second class lower
222,23 - 27 years,Male,10 - 15,L 400,4.0 - 3.6,Less than 3,Yes,Yes,Exactly 2 hours,First class
223,23 - 27 years,Male,10 - 15,L 400,2.9 - 2.5,More than 3,No,Yes,Less than 2 hours,Second class lower
224,14 - 17 years,Male,6 - 9,L 400,3.5 - 3.0,Less than 3,Yes,Yes,Less than 2 hours,Second class upper
225,23 - 27 years,Male,10 - 15,L 400,3.5 - 3.0,Less than 3,Yes,Yes,Less than 2 hours,Second class upper
226,23 - 27 years,Male,6 - 9,L 400,4.0 - 3.6,More than 3,Yes,Yes,Less than 2 hours,First class
227,23 - 27 years,Female,16 - 20,L 400,4.0 - 3.6,Less than 3,Yes,Yes,Less than 2 hours,First class
228,23 - 27 years,Female,16 - 20,L 400,2.4 - 2.0,Exactly 3,Yes,No,Less than 2 hours,Third class
229,14 - 17 years,Female,6 - 9,L 300,4.0 - 3.6,More than 3,No,No,More than 2 hours,First class
230,18 - 22 years,Male,10 - 15,L 300,2.9 - 2.5,Less than 3,Maybe,No,Exactly 2 hours,Second class lower
231,14 - 17 years,Male,6 - 9,L 400,4.0 - 3.6,Less than 3,Maybe,Yes,More than 2 hours,First class
232,More than 32 years,Male,10 - 15,L 400,3.5 - 3.0,Less than 3,Maybe,Yes,Exactly 2 hours,Second class upper
233,18 - 22 years,Male,6 - 9,L 400,4.0 - 3.6,Less than 3,Yes,Yes,More than 2 hours,First class
234,18 - 22 years,Male,6 - 9,L 300,Below 1.5,More than 3,Maybe,No,More than 2 hours,Fail
235,More than 32 years,Female,Above 30,L 300,Below 1.5,More than 3,No,Yes,Less than 2 hours,Fail
236,18 - 22 years,Female,16 - 20,L 300,3.5 - 3.0,More than 3,Yes,Yes,More than 2 hours,Second class upper
237,23 - 27 years,Male,6 - 9,L 400,3.5 - 3.0,More than 3,Yes,Yes,Exactly 2 hours,Second class upper
